Title,Genres,Score,Popularity,Year
Jujutsu Kaisen,"Action, Drama, Supernatural",85.0,740153,2020
Dounika Naru Hibi,"Drama, Romance, Slice of Life",51.0,7984,2020
Overflow,"Comedy, Hentai, Romance",67.0,29134,2020
Hulaing Babies☆Petit,"Comedy, Slice of Life",42.0,414,2020
Rebirth,"Comedy, Slice of Life",48.0,1586,2020
SHOW BY ROCK!! Mashumairesh!!,"Comedy, Music",69.0,5949,2020
Youkai Watch Jam: Youkai Gakuen Y - N to no Souguu,"Comedy, Fantasy, Supernatural",61.0,884,2020
Haikyuu!! TO THE TOP 2,"Comedy, Drama, Sports",85.0,212629,2020
"Shachou, Battle no Jikan desu!","Action, Adventure, Fantasy",53.0,10946,2020
Josee to Tora to Sakanatachi,"Drama, Romance, Slice of Life",82.0,134636,2020
Aisei Tenshi Love Mary: Akusei Jutai THE ANIMATION,"Hentai, Mahou Shoujo",54.0,1908,2020
Hypnosis Mic -Division Rap Battle- Rhyme Anima,"Action, Music, Sci-Fi",64.0,22840,2020
Doraemon: Nobita no Shin Kyoryuu,"Adventure, Comedy, Sci-Fi",73.0,1831,2020
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"Fantasy, Slice of Life",79.0,55239,2020
Kyonyuu Princess Saimin,Hentai,64.0,3289,2020
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,"Fantasy, Slice of Life",74.0,14452,2020
"Kanojo, Okarishimasu","Comedy, Drama, Romance",66.0,255129,2020
Breakers,Sports,57.0,3581,2020
Gaina Tamager,Sci-Fi,,165,2020
Keishicho Tokumu-bu Tokushu Kyoaku-han Taisaku-Shitsu Dai-Nana-ka: Tokunana OVA File 0.5,"Action, Drama, Psychological",54.0,1278,2020
BanG Dream! Garupa☆Pico: Oomori,"Comedy, Music",75.0,4782,2020
PSYCHO-PASS 3: FIRST INSPECTOR,"Action, Psychological, Sci-Fi, Thriller",77.0,26925,2020
Hakumei no Tsubasa,"Adventure, Drama, Fantasy, Slice of Life",74.0,10789,2020
Hajimete no Hitozuma,Hentai,64.0,3190,2020
Love Live! Nijigasaki Gakuen School Idol Doukoukai,"Music, Slice of Life",73.0,28200,2020
Kiratto Pri☆Chan Season 3,"Comedy, Music, Slice of Life",71.0,1293,2020
Toji no Miko: Kizamishi Issen no Tomoshibi,"Action, Fantasy",63.0,2224,2020
Shokugeki no Souma: Gou no Sara,"Comedy, Drama, Ecchi",71.0,125556,2020
Girls und Panzer: Taiyaki War!,Comedy,72.0,3969,2020
Yu☆Gi☆Oh! SEVENS,"Action, Fantasy, Sci-Fi",57.0,5094,2020
Dragon Quest: Dai no Daibouken (2020),"Action, Adventure, Fantasy",72.0,20226,2020
Yuukoku no Moriarty,"Drama, Mystery, Psychological",80.0,126426,2020
Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,"Comedy, Drama, Romance, Slice of Life",73.0,36467,2020
Urashimasakatasen no Nichijou OVA,"Comedy, Slice of Life",45.0,339,2020
Gundam Build Divers Re:RISE 2nd Season,"Action, Mecha, Sci-Fi",72.0,3580,2020
Enen no Shouboutai: Ni no Shou,"Action, Drama, Sci-Fi, Supernatural",78.0,234324,2020
Inmou,Hentai,54.0,1684,2020
Jitaku Keibiin 2,Hentai,59.0,2098,2020
22/7: 8+3=?,Music,62.0,3457,2020
Rail Romanesque,Slice of Life,47.0,10150,2020
Sword Art Online: Alicization - War of Underworld Part 2,"Action, Adventure, Fantasy",74.0,159806,2020
Gundam: G no Reconguista II - Bellri Gekishin,"Action, Mecha, Sci-Fi",67.0,1464,2020
Kuma Kuma Kuma Bear,"Adventure, Comedy, Fantasy, Slice of Life",70.0,48331,2020
Hakushon Daimaou 2020,"Comedy, Fantasy",50.0,450,2020
Bungou to Alchemist: Shinpan no Haguruma,"Action, Adventure, Fantasy",59.0,15345,2020
Hentatsu (TV Short),"Adventure, Comedy",49.0,1989,2020
Koisuru Asteroid: KiraKira Zoukangou,"Comedy, Slice of Life",55.0,998,2020
Tenchi Muyou! Ryououki Dai 5-ki,"Action, Comedy, Sci-Fi",60.0,1417,2020
Higurashi no Naku Koro ni Gou,"Drama, Horror, Mystery, Psychological, Supernatural, Thriller",69.0,71564,2020
Saint Seiya: Knights of the Zodiac Part 2,"Adventure, Fantasy, Sci-Fi",52.0,1407,2020
